2025-12-14T01:57:22.000000000Z [inf]  Starting Container
2025-12-14T01:57:24.006753274Z [inf]  
2025-12-14T01:57:24.006772906Z [inf]  [Config] All required configurations present
2025-12-14T01:57:24.006782158Z [inf]  [Config] Trading enabled: true
2025-12-14T01:57:24.006817197Z [inf]  [Config] Max leverage: 10x
2025-12-14T01:57:24.006830917Z [inf]  [Config] Max position size: 50%
2025-12-14T01:57:24.006841023Z [inf]  [Config] Min confidence: 45%
2025-12-14T01:57:24.006850910Z [inf]  [Config] Max hold time: 4h
2025-12-14T01:57:24.006860986Z [inf]  [Main] Auto-starting trading bot...
2025-12-14T01:57:24.006871502Z [inf]  [Engine] Starting trading bot...
2025-12-14T01:57:24.006881818Z [inf]  [Engine] Min confidence: 45%
2025-12-14T01:57:24.006898726Z [inf]  [Engine] Max leverage: 10x
2025-12-14T01:57:24.006909565Z [err]  (node:27) [DEP0040] DeprecationWarning: The `punycode` module is deprecated. Please use a userland alternative instead.
2025-12-14T01:57:24.006918110Z [err]  (Use `node --trace-deprecation ...` to show where the warning was created)
2025-12-14T01:57:24.006928842Z [inf]  [Server] Running on port 3001
2025-12-14T01:57:24.006955686Z [err]  npm warn config production Use `--omit=dev` instead.
2025-12-14T01:57:24.006960168Z [inf]  
2025-12-14T01:57:24.006964347Z [inf]  > gpt-scalping-bot@1.0.0 start
2025-12-14T01:57:24.006968456Z [inf]  > npm run start -w bot
2025-12-14T01:57:24.006972635Z [inf]  
2025-12-14T01:57:24.006979279Z [err]  npm warn config production Use `--omit=dev` instead.
2025-12-14T01:57:24.006983543Z [inf]  
2025-12-14T01:57:24.006987617Z [inf]  > bot@1.0.0 start
2025-12-14T01:57:24.006993058Z [inf]  > node dist/index.js
2025-12-14T01:57:24.006999053Z [inf]  
2025-12-14T01:57:24.007003423Z [inf]  =========================================
2025-12-14T01:57:24.007007932Z [inf]      GPT 5.2 SCALPING BOT - v1.0.1
2025-12-14T01:57:24.007015445Z [inf]  =========================================
2025-12-14T01:57:24.009832360Z [inf]  [Engine] Account balance: $4669.66
2025-12-14T01:57:24.009835654Z [inf]  [Engine] Available balance: $4669.66
2025-12-14T01:57:24.268771530Z [inf]  [Engine] Found 0 open positions
2025-12-14T01:57:24.271064319Z [inf]  [Engine] Bot started successfully
2025-12-14T01:57:24.271079292Z [inf]  
2025-12-14T01:57:24.271084241Z [inf]  [Main] Bot is ready!
2025-12-14T01:57:24.271088909Z [inf]  [Main] Dashboard API: http://localhost:3001
2025-12-14T01:57:24.271093723Z [inf]  [Main] WebSocket: ws://localhost:3001
2025-12-14T01:57:24.271098784Z [inf]  
2025-12-14T01:57:25.296694071Z [inf]  [WS] Connected to Binance
2025-12-14T01:57:31.293102073Z [inf]  [Engine] OPUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:57:31.293109002Z [inf]  [Engine] DOGEUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:57:31.329169050Z [inf]  [Engine] BTCUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:57:31.329174768Z [inf]  [Engine] SOLUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:57:31.353911949Z [inf]  [Engine] ETHUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:57:31.353928167Z [inf]  [Engine] AVAXUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:57:31.364112265Z [inf]  [Engine] XRPUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:57:32.282641266Z [inf]  [Engine] ARBUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:57:32.282648163Z [inf]  [Engine] SUIUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:57:32.282655046Z [inf]  [Engine] BNBUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:57:32.282664787Z [inf]  [Engine] INJUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:57:32.991735873Z [inf]  [Engine] LINKUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:02.418593630Z [inf]  [Engine] ETHUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:02.418607266Z [inf]  [Engine] BNBUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:02.418747319Z [inf]  [Engine] BTCUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:03.292210765Z [inf]  [Engine] SOLUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:05.280986179Z [inf]  [Engine] XRPUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:07.343123059Z [inf]  [Engine] LINKUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:09.349796974Z [inf]  [Engine] AVAXUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:12.401641398Z [inf]  [Engine] DOGEUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:14.725120463Z [inf]  [Engine] SUIUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:16.900286976Z [inf]  [Engine] ARBUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:19.471525767Z [inf]  [Engine] OPUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:21.488656882Z [inf]  [Engine] INJUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:26.693091796Z [inf]  [Engine] BTCUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:28.697596367Z [inf]  [Engine] ETHUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:31.554366386Z [inf]  [Engine] BNBUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:33.492225900Z [inf]  [Engine] SOLUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:35.391370247Z [inf]  [Engine] XRPUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:37.488640401Z [inf]  [Engine] LINKUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:39.407349350Z [inf]  [Engine] AVAXUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:41.653066451Z [inf]  [Engine] DOGEUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:43.724336218Z [inf]  [Engine] SUIUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:46.793449924Z [inf]  [Engine] ARBUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:48.624383143Z [inf]  [Engine] OPUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:50.695749700Z [inf]  [Engine] INJUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:56.649673819Z [inf]  [Engine] BTCUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:58:59.103218301Z [inf]  [Engine] ETHUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:01.896777231Z [inf]  [Engine] BNBUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:03.924870668Z [inf]  [Engine] SOLUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:06.707605361Z [inf]  [Engine] XRPUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:09.041696463Z [inf]  [Engine] LINKUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:11.846864792Z [inf]  [Engine] AVAXUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:13.920915467Z [inf]  [Engine] DOGEUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:15.783237388Z [inf]  [Engine] SUIUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:17.797386684Z [inf]  [Engine] ARBUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:19.767489975Z [inf]  [Engine] OPUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:21.729136937Z [inf]  [Engine] INJUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:26.825007144Z [inf]  [Engine] BTCUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:30.102590755Z [inf]  [Engine] ETHUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:34.247469955Z [inf]  [Engine] BNBUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:37.022786419Z [inf]  [Engine] SOLUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:39.397567598Z [inf]  [Engine] XRPUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:42.157692411Z [inf]  [Engine] LINKUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:44.333094717Z [inf]  [Engine] AVAXUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:46.445766354Z [inf]  [Engine] DOGEUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:48.989517700Z [inf]  [Engine] SUIUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:51.174152141Z [inf]  [Engine] ARBUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:53.471553595Z [inf]  [Engine] OPUSDT: No opportunity (score: 0) - skipping full analysis
2025-12-14T01:59:55.495706601Z [inf]  [Engine] INJUSDT: No opportunity (score: 0) - skipping full analysis
